ID,Name,Polymer_SMILES,Monomer_SMILES_1,Monomer_SMILES_2,Egc,Egb,Eib,CED,Ei,Eea,nc,ne,Xc,Xe,epse_6.0,epsc,epse_3.0,epse_1.78,epse_15.0,epse_4.0,epse_5.0,epse_2.0,epse_9.0,epse_7.0,epsb,TSb,TSy,YM,permCH4,permCO2,permH2,permO2,permN2,permHe,Cp,Td,Tg,Tm,rho,LOI,SELFIES
P010001,polyethene,*C*,C=C,,4.330576,4.113436,3.935148,82.704056,5.7620873,1.0462542,1.8067223,1.5393679,35.476757,33.37782,3.0963113,3.891137,3.3870559,3.553955,2.4415476,3.2880192,3.1888304,3.5197911,2.8190103,3.000375,51.118927,18.90876,18.037579,571.78564,6.5513773,45.561623,40.347748,11.179819,4.2242804,27.200653,1.3307803,588.05804,313.36267,430.56586,1.1943767,24.51594,
P010001,poly(diazomethane),*C*,C=[N+]=[N-],,4.330576,4.113436,3.935148,82.704056,5.7620873,1.0462542,1.8067223,1.5393679,35.476757,33.37782,3.0963113,3.891137,3.3870559,3.553955,2.4415476,3.2880192,3.1888304,3.5197911,2.8190103,3.000375,51.118927,18.90876,18.037579,571.78564,6.5513773,45.561623,40.347748,11.179819,4.2242804,27.200653,1.3307803,588.05804,313.36267,430.56586,1.1943767,24.51594,
P010002,poly(prop-1-ene),CC(*)C*,CC=C,,5.633808,5.649743,4.384637,80.591415,6.4880023,0.62603104,1.7027452,1.486593,23.849182,27.19601,2.640891,3.475667,2.8187008,2.9316044,2.2964296,2.7551918,2.6915915,2.906963,2.4834285,2.578957,30.453545,11.852592,12.472618,427.70166,29.942661,348.48218,350.1981,75.35117,22.92839,229.15457,1.390969,593.5304,323.89493,428.24945,0.9869837,17.736095,
P010003,poly(but-1-ene),CCC(*)C*,CCC=C,,5.676443,5.762833,4.4566846,75.27324,6.387467,0.47475874,1.6924099,1.4805474,20.97941,25.338812,2.583605,3.4330354,2.7529168,2.8607373,2.2761302,2.6913254,2.6313586,2.8347702,2.4413223,2.5274527,30.342724,8.751724,9.984882,366.75208,37.759354,453.3476,458.07748,97.34058,29.24423,298.2716,1.4026165,588.014,318.73334,425.2222,0.94973445,16.625181,
P010004,poly(pent-1-ene),CCCC(*)C*,CCCC=C,,5.6472764,5.7415237,4.4406686,74.22809,6.3754597,0.4734484,1.689327,1.4789662,20.451813,25.474102,2.586262,3.4246898,2.760597,2.8644776,2.263394,2.6998065,2.6367297,2.838821,2.4349866,2.5293338,33.64572,5.7933655,7.2552643,263.38257,41.119183,491.8791,492.56906,105.43138,31.744719,318.5799,1.4485903,579.4232,312.66846,416.38965,0.927793,16.26179,
P010006,poly(3-methylbut-1-ene),CC(C)C(*)C*,CC(C)C=C,,5.6823606,5.763594,4.4448752,77.96437,6.42803,0.5247656,1.6857139,1.4740093,18.131142,22.468805,2.5729825,3.4341893,2.742491,2.854661,2.256056,2.6792278,2.619171,2.8242366,2.4245,2.5158343,21.828226,12.087257,13.453964,529.3804,47.48357,569.33307,566.4948,121.99158,36.68545,364.86258,1.3552407,594.3319,333.31418,438.90613,0.9453372,16.924603,
P010007,poly(hex-1-ene),CCCCC(*)C*,CCCCC=C,,5.6381965,5.714942,4.4105034,72.630356,6.388233,0.44333243,1.689921,1.4795996,20.364204,25.543884,2.6186042,3.4303615,2.7992983,2.8985472,2.2729053,2.7366898,2.670992,2.8752916,2.4561617,2.5587153,41.33895,1.6674118,3.5129128,126.7146,35.82402,408.20392,401.17557,88.224106,27.092697,257.42743,1.4850937,572.97656,298.86102,401.33014,0.9141221,15.684042,
P010008,poly(4-methylpent-1-ene),CC(C)CC(*)C*,CC(C)CC=C,,5.713483,5.820225,4.449559,76.49417,6.4323726,0.47903562,1.684375,1.4746745,17.076744,21.639238,2.5914345,3.4217665,2.7550054,2.8619642,2.2664793,2.6947587,2.637004,2.8324945,2.4389565,2.5346131,25.118355,11.438812,12.36021,474.27637,42.65696,493.62094,485.7318,106.521126,32.475357,311.4509,1.3772641,585.3021,319.71576,428.8169,0.9251926,16.177,
P010009,poly(hept-1-ene),CCCCCC(*)C*,CCCCCC=C,,5.6212053,5.662711,4.3845177,70.97999,6.384577,0.40876162,1.6880624,1.479639,20.37884,25.722795,2.6431231,3.4310303,2.8251297,2.9174256,2.2854166,2.7595198,2.695604,2.8976712,2.4744358,2.5818324,48.116035,0.0001,0.16989136,6.1862793,29.64154,318.05853,307.65912,69.623405,21.905457,196.62903,1.5098985,571.4407,286.45624,390.35834,0.90292084,14.993071,
P010009,poly(1-heptene),CCCCCC(*)C*,CCCCCC=C,,5.6212053,5.662711,4.3845177,70.97999,6.384577,0.40876162,1.6880624,1.479639,20.37884,25.722795,2.6431231,3.4310303,2.8251297,2.9174256,2.2854166,2.7595198,2.695604,2.8976712,2.4744358,2.5818324,48.116035,0.0001,0.16989136,6.1862793,29.64154,318.05853,307.65912,69.623405,21.905457,196.62903,1.5098985,571.4407,286.45624,390.35834,0.90292084,14.993071,
