SN,Polymer_SMILES,Solvent_SMILES,Activities,logD,liquid_density_solvent,MW_rdkit,log10MV,log10(mmol_solvent/g_Polymer)
0.0,CC(=CC[*])C[*],Brc1ccccc1,1.0,-6.223298816,1.487,157.01,2.023616345,1.25139485
1.0,CC(=CC[*])C[*],C1CCCCC1,1.0,-5.649751982,0.773,84.162,2.036936553,
2.0,CC(=CC[*])C[*],C=CCCC,1.0,-6.812479279,0.635,70.135,2.043161076,
3.0,CC(=CC[*])C[*],CC(=O)CC(C)C,1.0,-6.503070352,0.796,100.161,2.099785584,
4.0,CC(=CC[*])C[*],CC(=O)OCCC(C)C,1.0,-6.565431096,0.876,130.187,2.172063513,0.785329835
5.0,CC(=CC[*])C[*],CC(C)(C)O,1.0,-6.882728704,0.8,74.123,1.966863001,
6.0,CC(=CC[*])C[*],CC(C)=O,1.0,-6.478432869,0.784,58.08,1.869710545,
7.0,CC(=CC[*])C[*],CC(C)CC(C)(C)C,1.0,-6.387216143,0.69,114.232,2.21893869,0.749621011
8.0,CC(=CC[*])C[*],CC(C)O,1.0,-7.804100348,0.783,60.096,1.885083804,
9.0,CC(=CC[*])C[*],CCC(C)(C)O,1.0,-6.752026734,0.805,88.15,2.039426436,
10.0,CC(=CC[*])C[*],CCC(C)=O,1.0,-6.063572378,0.799,72.107,1.955430648,
11.0,CC(=CC[*])C[*],CCC(CC)CO,1.0,-7.099086932,0.829,102.177,2.090798617,
12.0,CC(=CC[*])C[*],CCCC=O,1.0,-7.602059991,0.797,72.107,1.956519106,
13.0,CC(=CC[*])C[*],CCCCC,0.0,-6.995678626,0.621,72.151,2.065150755,
14.0,CC(=CC[*])C[*],CCCCC,1.0,-6.806875402,0.621,72.151,2.065150755,
15.0,CC(=CC[*])C[*],CCCCCC,1.0,-6.050474731,0.656,86.178,2.118492571,
16.0,CC(=CC[*])C[*],CCCCCCC,1.0,-5.763768052,0.682,100.205,2.167105018,
17.0,CC(=CC[*])C[*],CCCCCCCC,1.0,-6.166215625,0.699,114.232,2.213310605,
18.0,CC(=CC[*])C[*],CCCCCCCCC,1.0,-6.355561411,0.7,128.259,2.26298981,
19.0,CC(=CC[*])C[*],CCCCCCCCCC,1.0,-6.488116639,0.73,142.286,2.28983931,
20.0,CC(=CC[*])C[*],CCCCCCCCCCCC,1.0,-6.68613278,0.745,170.34,2.35916037,0.610447221
21.0,CC(=CC[*])C[*],CCCCCCCCCCCCCC,1.0,-6.835647144,0.758,198.394,2.417859328,0.530071569
22.0,CC(=CC[*])C[*],CCCCCCCCCCCCCCCC,1.0,-7.075720714,0.77,226.448,2.468477764,0.44963265
23.0,CC(=CC[*])C[*],CCCCCO,1.0,-7.259637311,0.811,88.15,2.036201462,
24.0,CC(=CC[*])C[*],CCCCO,1.0,-7.368556231,0.806,74.123,1.963617947,
25.0,CC(=CC[*])C[*],CCCCOC(C)=O,1.0,-6.37675071,0.876,116.16,2.122552497,0.823474229
26.0,CC(=CC[*])C[*],CCCO,1.0,-7.477555766,0.802,60.096,1.874671198,
27.0,CC(=CC[*])C[*],CCCOC(C)=O,1.0,-5.969394431,0.883,102.133,2.063205385,0.786751422
28.0,CC(=CC[*])C[*],CCO,1.0,-7.838631998,0.787,46.069,1.767434053,
29.0,CC(=CC[*])C[*],CCOC(=O)CC(C)=O,1.0,-6.946921557,1.021,130.143,2.105395072,-0.408935393
30.0,CC(=CC[*])C[*],CCOC(=O)OCC,1.0,-6.068542129,0.97,118.132,2.085595822,
31.0,CC(=CC[*])C[*],CCOC(C)=O,1.0,-6.154626367,0.894,88.106,1.993667966,0.664641976
32.0,CC(=CC[*])C[*],CCc1ccccc1,1.0,-6.453289157,0.865,106.168,2.088977529,
33.0,CC(=CC[*])C[*],CO,1.0,-7.838631998,0.787,32.042,1.609744884,
34.0,CC(=CC[*])C[*],COC(=O)CC(C)=O,1.0,-6.962573502,1.072,116.116,2.034697281,-0.769551079
35.0,CC(=CC[*])C[*],COC(=O)c1ccccc1O,1.0,-7.086186148,1.175,152.149,2.112231236,0.725094521
36.0,CC(=CC[*])C[*],COC(C)=O,1.0,-6.164943898,0.927,74.079,1.902615377,0.350248018
,CC(=CC[*])C[*],Cc1cc(C)cc(C)c1,,,,,,0.068185862
,CC(=CC[*])C[*],Cc1ccc(C)cc1,,,,,,0.176091259
37.0,CC(=CC[*])C[*],Cc1ccc(O)cc1,1.0,-8.013228266,1.02,108.14,2.025386193,
38.0,CC(=CC[*])C[*],Cc1cccc(C)c1,1.0,-6.15739076,0.861,106.168,2.090990485,
39.0,CC(=CC[*])C[*],Cc1ccccc1,1.0,-5.71965701,0.865,92.141,2.027436814,0.206825876
40.0,CC(=CC[*])C[*],Cc1ccccc1C,1.0,-6.539677499,0.876,106.168,2.08348953,
41.0,CC(=CC[*])C[*],ClC(Cl)(Cl)Cl,1.0,-5.92748575,1.583,153.823,1.987540362,
42.0,CC(=CC[*])C[*],ClC(Cl)=C(Cl)Cl,1.0,-5.482804102,1.6,165.834,2.015553594,
43.0,CC(=CC[*])C[*],ClC(Cl)C(Cl)Cl,1.0,-6.463441557,1.6,167.85,2.020801363,
44.0,CC(=CC[*])C[*],ClC(Cl)Cl,1.0,-6.060480747,1.48,119.378,1.906662583,
45.0,CC(=CC[*])C[*],ClC=C(Cl)Cl,1.0,-5.328827157,1.458,131.389,1.954801483,
46.0,CC(=CC[*])C[*],ClCC(Cl)Cl,1.0,-5.829738285,1.435,133.405,1.968320206,
47.0,CC(=CC[*])C[*],ClCCCl,1.0,-6.179798541,1.246,98.96,1.899941644,
48.0,CC(=CC[*])C[*],Clc1ccccc1,1.0,-6.003050752,1.101,112.559,2.009592907,1.272537777
49.0,CC(=CC[*])C[*],Fc1ccccc1,1.0,-5.970616222,1.019,96.104,1.97456728,1.217483944
50.0,CC(=CC[*])C[*],Nc1ccccc1,1.0,-6.982966661,1.018,93.129,1.961337162,-0.107905397
51.0,CC(=CC[*])C[*],O=C1CCCCC1,1.0,-5.804100348,0.942,98.145,2.017817277,
52.0,CC(=CC[*])C[*],O=Cc1ccccc1,1.0,-6.749579998,1.04,106.124,2.008780272,
53.0,CC(=CC[*])C[*],O=[N+]([O-])c1ccccc1,1.0,-6.863279433,1.2,123.111,2.011115613,0.715167358
54.0,CC(=CC[*])C[*],OCc1ccccc1,1.0,-7.235077015,1.041,108.14,2.016535636,
55.0,CC(=CC[*])C[*],c1ccc2c(c1)CCCC2,1.0,-5.801342913,0.967,132.206,2.135824691,
56.0,CC(=CC[*])C[*],c1ccccc1,0.0,-7.087286941,0.873,78.114,1.951714634,-1.209451755
56.0,CC(=CC[*])C[*],c1ccccc1,0.0,-7.087286941,0.873,78.114,1.951714634,-0.986521609
56.0,CC(=CC[*])C[*],c1ccccc1,0.0,-7.087286941,0.873,78.114,1.951714634,-0.773126896
56.0,CC(=CC[*])C[*],c1ccccc1,0.0,-7.087286941,0.873,78.114,1.951714634,-0.478202177
56.0,CC(=CC[*])C[*],c1ccccc1,0.0,-7.087286941,0.873,78.114,1.951714634,-0.328728635
56.0,CC(=CC[*])C[*],c1ccccc1,0.0,-7.087286941,0.873,78.114,1.951714634,-0.224811634
56.0,CC(=CC[*])C[*],c1ccccc1,0.0,-7.087286941,0.873,78.114,1.951714634,-0.133699836
56.0,CC(=CC[*])C[*],c1ccccc1,0.0,-7.087286941,0.873,78.114,1.951714634,0.167319107
56.0,CC(=CC[*])C[*],c1ccccc1,0.0,-7.087286941,0.873,78.114,1.951714634,0.360950215
56.0,CC(=CC[*])C[*],c1ccccc1,0.0,-7.087286941,0.873,78.114,1.951714634,0.510530412
56.0,CC(=CC[*])C[*],c1ccccc1,0.0,-7.087286941,0.873,78.114,1.951714634,0.646383684
56.0,CC(=CC[*])C[*],c1ccccc1,0.0,-7.087286941,0.873,78.114,1.951714634,0.759361846
56.0,CC(=CC[*])C[*],c1ccccc1,0.0,-7.087286941,0.873,78.114,1.951714634,0.849724889
56.0,CC(=CC[*])C[*],c1ccccc1,0.0,-7.087286941,0.873,78.114,1.951714634,0.947305706
56.0,CC(=CC[*])C[*],c1ccccc1,0.0,-7.087286941,0.873,78.114,1.951714634,1.209874064
